category_id,parent_id,level,channel,sub_category,sub_category_zh,sku,name_zh,name_en,list_price,member_price,form_option_label,tally_source_tab,tally_column_hint,track_inventory,is_active,sort_order,appsheet_group,notes
CAT-TICKET,,1,ticket,,,票務,Tickets,,,,,,,TRUE,1,票務,大類：現場門票
CAT-MERCH,,1,merch,,,商品,Merch,,,,,,,TRUE,10,商品,大類：周邊商品
CAT-TICKET-MEMBER,CAT-TICKET,2,ticket,member,會員票種,,,,,,,TRUE,2,票務,票務細類
CAT-TICKET-EARLY,CAT-TICKET,2,ticket,early_bird,早鳥,,,,,,,TRUE,3,票務,票務細類
CAT-TICKET-ADV,CAT-TICKET,2,ticket,advanced,預售,,,,,,,TRUE,4,票務,票務細類
CAT-MERCH-APPAREL,CAT-MERCH,2,merch,apparel,服飾,,,,,,,TRUE,11,商品,商品細類
CAT-MERCH-ACCESSORY,CAT-MERCH,2,merch,accessory,配件,,,,,,,TRUE,12,商品,商品細類
CAT-MERCH-TOWEL,CAT-MERCH,2,merch,towel,毛巾,,,,,,,TRUE,13,商品,商品細類
CAT-MERCH-PACK,CAT-MERCH,2,merch,pack,套裝 Pack,,,,,,,TRUE,14,商品,商品細類
CAT-MERCH-BAG,CAT-MERCH,2,merch,bag,袋類,,,,,,,TRUE,15,商品,商品細類
SKU-T-METAL-300,CAT-TICKET-MEMBER,3,ticket,member,會員票種,T-METAL-300,會員特級優惠,Member Special,300,255,會員特級優惠 HKD300,NA_Tickets,會員特級優惠 HKD300,FALSE,TRUE,101,票務,Tally 購票
SKU-T-EB-300,CAT-TICKET-EARLY,3,ticket,early_bird,早鳥,T-EB-300,早鳥門票,Early Bird,300,255,🎫 早鳥門票 HKD300,NA_Tickets,🎫 早鳥門票 HKD300,FALSE,TRUE,102,票務,Tally 購票
SKU-T-ADV-350,CAT-TICKET-ADV,3,ticket,advanced,預售,T-ADV-350,預售門票,Presale,350,298,🎫 預售 HKD350,NA_Tickets,🎫 預售 HKD350,FALSE,TRUE,103,票務,Tally 購票
SKU-M-TEE-BLK-M,CAT-MERCH-APPAREL,3,merch,apparel,服飾,M-TEE-BLK-M,活動 Tee 黑 M,Event Tee Black M,280,238,Ark T-Shirt HKD280,NA_Merch,Ark T-Shirt HKD280,TRUE,TRUE,201,商品,Tally 商品
SKU-M-ARK-TOTE,CAT-MERCH-BAG,3,merch,bag,袋類,M-ARK-TOTE,Ark Tote Bag,Ark Tote Bag,120,102,Ark Tote Bag HKD120,NA_Merch,Ark Tote Bag HKD120,TRUE,TRUE,202,商品,Tally 商品
SKU-M-ARK-KEYCHAIN,CAT-MERCH-ACCESSORY,3,merch,accessory,配件,M-ARK-KEYCHAIN,Ark Keychain,Ark Keychain,120,102,Ark Keychain/鎖匙扣 HKD120,NA_Merch,Ark Keychain/鎖匙扣 HKD120,TRUE,TRUE,203,商品,Tally 商品
SKU-M-PATCH,CAT-MERCH-ACCESSORY,3,merch,accessory,配件,M-PATCH,布章,Patch,100,85,Patch,NA_Merch,,TRUE,TRUE,204,商品,可選
SKU-M-ARK-MOUSEPAD,CAT-MERCH-ACCESSORY,3,merch,accessory,配件,M-ARK-MOUSEPAD,Ark Mousepad,Ark Mousepad,40,34,Ark Mousepad,NA_Merch,,TRUE,TRUE,205,商品,可選
SKU-M-ARK-TOWER,CAT-MERCH-TOWEL,3,merch,towel,毛巾,M-ARK-TOWER,Ark Tower 毛巾,Ark Tower,80,68,Ark Tower/毛巾 HKD80,NA_Merch,Ark Tower/毛巾 HKD80,TRUE,TRUE,211,商品,Tally 商品
SKU-M-ARK-BIGPACK,CAT-MERCH-PACK,3,merch,pack,套裝 Pack,M-ARK-BIGPACK,Ark BigPack,Ark BigPack,200,170,Ark BigPack HKD200,NA_Merch,Ark BigPack HKD200,TRUE,TRUE,221,商品,Tally 商品
SKU-M-ARK-TINYPACK,CAT-MERCH-PACK,3,merch,pack,套裝 Pack,M-ARK-TINYPACK,Ark TinyPack,Ark TinyPack,60,51,Ark TinyPack HKD60,NA_Merch,Ark TinyPack HKD60,TRUE,TRUE,222,商品,Tally 商品
